venue,band,supporing act,date,time,price
Heights theater,Michael Martin Murphey,Ryan Murphey,6/10/2022,19:00,26
Heights theater,Justin Hayward,Mike Dawes,6/11/2022,19:00,32
Heights theater,Black Joe Lewis,Cedric Burnside ,6/12/2022,19:00,24
Heights theater,Joshua Ray Walker,Sarah Shook,6/17/2022,19:00,20
Heights theater,Micha Edwards,Sam Turner,6/18/2022,19:00,18
Heights theater,Chris Knight,Jason Eady,6/22/2022,19:00,24
Heights theater,Texas Blues Guitar Summit,,6/24/2022,19:00,24
Heights theater,Kathleen Edwards,John Paul White,6/25/2022,19:00,24
