venue,band,supporing act,date,time,price
Mucky Duck,John Egan,,6/7/2022,19:00,30.00
Mucky Duck,Giulia Millanta,,6/9/2022,19:00,30.00
Mucky Duck,Warren Hood,,6/11/2022,19:00,30.00
Mucky Duck,Amy Speace,,6/16/2022,19:00,30.00
Mucky Duck,Slaid Cleaves,,6/17/2022,19:00,30.00
Mucky Duck,Austin Lounge Lizards,,6/21/2022,19:00,30.00
Mucky Duck,Jon Muq,,6/23/2022,19:00,30.00
Mucky Duck,Rosie Flores,,6/30/2022,19:00,30.00
Mucky Duck,Jim Lauderdale,,7/1/2022,19:00,30.00
