venue,band,supporing act,date,time,price
Warehouse Live,Raycheal Winters,,6/10/2022,18:30,10.00
Warehouse Live,Last Dinosaurs,,6/13/2022,19:00,18.00
Warehouse Live,Babyface Ray,,6/14/2022,19:00,22.50
Warehouse Live,Cobweb Cabaret,,6/16/2022,20:00,35.00
